id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29514036,Remodeled Solana Beach Condo,222255131,Chuck,,Del Mar Heights,32.98519,-117.25777,Entire home/apt,125,30,10,2022-01-10,0.28,1,254,5,
36072298,San Diego-Bonita Oasis on 1/2 acre with pool #2,265085721,Sherry,,Bay Terrace,32.68288,-117.02573,Private room,66,2,46,2022-03-13,1.41,3,117,24,
294616,Affordable and Comfy Guest Room,1451704,Deborah,,Tierrasanta,32.83365,-117.0223,Private room,73,1,61,2022-03-13,0.49,1,364,25,
39928542,1BR/BA TJ Border Suites 05 by Hosted by Me,223536044,Tj Border Suites,,San Ysidro,32.54071,-117.03122,Entire home/apt,57,1,49,2021-12-16,1.70,10,102,11,
33254970,Perfect for travel nurse/student/business,228145512,Carol,,Mission Bay,33.07082,-117.05015,Private room,65,7,16,2022-02-26,0.48,1,118,5,
19641722,"Welcoming, Friendly & Comfortable",135578419,Afrah,,Encanto,32.73354,-117.05403,Private room,80,1,11,2019-07-21,0.19,1,234,0,
39928327,Spacious 2BR/B TJ Border Suites 04 by Hosted by Me,223536044,Tj Border Suites,,San Ysidro,32.54071,-117.03122,Entire home/apt,93,1,46,2022-03-21,1.59,10,95,4,
53659122,"Ocean View Condo with Patio, Full Kitchen, & WiFi - Snowbird-Friendly!",111814852,Vacasa California,,Ocean Beach,32.739,-117.25533,Entire home/apt,543,2,7,2022-03-06,2.21,62,345,7,
19621314,"Huge Royal Luxury En Suite (Bath, WC & Balcony)",46170232,Jay,,Mission Bay,33.08553,-117.02757,Private room,90,1,141,2022-03-22,2.47,5,23,37,
19533726,Private BEDROOM & BATH in PALACE style gated house,46170232,Jay,,Mission Bay,33.0879,-117.02995,Private room,54,1,176,2022-03-21,3.06,5,50,60,
53473921,Mid-Century Modern and Contemporary House,40526508,Malcolm,,Lake Murray,32.79708,-117.00567,Entire home/apt,275,3,13,2022-03-18,4.48,2,147,13,
39420195,San Diego-Bonita Oasis on 1/2 acre with Pool #3,265085721,Sherry,,Bay Terrace,32.6844,-117.02369,Private room,76,2,19,2022-03-12,0.74,3,86,15,
49175699,Cozy 2 Double Beds Studio w/Kitchenette by SDSU,329328226,Ramona,,College Area,32.76797,-117.03704,Private room,156,1,10,2021-10-05,0.88,6,362,10,
571119946646019911,tiny house ranch retreat @lake&trail wifi washer,48212556,Vintage Home,,Rancho Bernadino,33.07727922597027,-117.11902021982125,Entire home/apt,150,2,2,2022-03-13,2,2,73,2,
40030896,Sunset & Solitude Couples Retreat in San Diego Bay,28893008,Daniel,,Northwest,32.65145,-117.10881,Entire home/apt,180,5,27,2022-03-03,0.96,1,343,7,
1240503,Slightly SE of San Diego -- Queen 2,6761999,Marilyn,,Bonita Long Canyon,32.64779,-116.99218,Private room,40,1,148,2022-03-16,1.40,2,236,15,
51776068,"Cozy 2 Bedroom Suite, patio w/ lights & BBQ grill!",419436375,Earl,,Rancho Del Rey,32.6379,-117.00713,Entire home/apt,120,1,24,2022-03-10,3.56,2,151,24,
7516292,The Bayside Bungalow,39150333,Cheryl Ann,,Mission Bay,32.76462,-117.24978,Entire home/apt,204,5,55,2022-03-20,0.83,9,88,12,
26277224,Cozy Coop with a View,49746243,Corey,,Rolando,32.75891,-117.05189,Entire home/apt,151,3,101,2022-03-20,2.25,2,111,30,
22513830,Endless ocean views! Beachside CA Coastal Elegance,21581825,Saniya,,Del Mar Heights,32.95182,-117.26452,Entire home/apt,780,5,1,2022-01-01,0.37,1,8,1,
51743604,4 bedroom residential home near the airport,417344944,Omar,,Mission Bay,32.54295,-117.00224,Entire home/apt,69,1,5,2022-01-09,1.03,1,365,5,
1556627,Adorable Del Mar Beach Apartment,8286658,Mimi,,Del Mar Heights,32.94977,-117.26503,Entire home/apt,150,4,87,2022-03-12,1.11,1,261,23,
14125455,Completely Remodeled!! Blocks to Racetrack & Beach,82497315,Brock,,Del Mar Heights,32.98011,-117.25987,Entire home/apt,150,30,1,2020-10-17,0.06,1,119,0,
42711782,"Quiet Resort living, 10 min to the Pacific Ocean",182270366,Uta & Miles,,North City,32.98746,-117.21524,Private room,129,1,0,,,1,365,0,
53300159,Walk to the Del Mar Racetrack! Bright & beautiful!,69858874,Amy,,Del Mar Heights,32.98309,-117.25855,Entire home/apt,193,3,6,2022-02-15,2.05,1,139,6,
26359072,"Keepin' It Real - Quiet Condo near Racetrack with Pool, Spa, AC",17300054,Stubbs,,Del Mar Heights,32.98389,-117.25839,Entire home/apt,117,30,2,2019-05-06,0.05,5,256,0,
47549930,Brand New Mission Beach Escape! Sleeps up to 6!,383829497,Emily,,Mission Bay,32.76449,-117.24977,Entire home/apt,295,2,52,2022-03-13,3.64,4,292,48,
13586830,4000 SQ FT HOME IN SAN DIEGO / 10 BEDS,69574840,David,,Paradise Hills,32.66581,-117.04682,Entire home/apt,399,12,68,2021-09-26,0.97,1,190,7,
48602418,"An Oasis,Heated Pool,
JQZ,Grill,Ocean&MTN View",31616114,Navid,,Lynwood Hills,32.62734,-117.03986,Entire home/apt,491,2,32,2022-02-25,2.75,2,306,32,
26996088,Private Modern Studio with Ocean View,121916709,Zeina And Mo,,Terra Nova,32.64478,-117.04954,Entire home/apt,99,2,80,2022-03-08,3.16,39,67,27,
43898515,OCEAN VIEWS IN DEL MAR'S PERFECT LOCATION,13635886,Nina,,Del Mar Heights,32.9491,-117.2619,Entire home/apt,566,30,4,2021-10-01,0.40,2,144,4,
934487,Beautiful Private Room,5039760,Liliana,,East Lake,32.64657,-116.97709,Private room,77,2,169,2022-03-21,2.51,1,356,59,
54228669,Spacious studio in La Mesa-near SDSU/Central 2 all,37281687,Michelle,,Rolando,32.76577,-117.0454,Entire home/apt,102,2,7,2022-02-27,3.18,3,0,7,
52704843,Adorable Private Studio,301760104,Marisol,,Sunbow,32.60228,-117.02356,Entire home/apt,70,2,13,2022-03-09,5.82,1,314,13,
45526879,"cómodo depto. completo, 10 min. de la frontera(16)",255579234,Jose Alberto,,Tijuana River Valley,32.53456,-117.08057,Entire home/apt,58,1,70,2022-03-20,3.87,6,177,38,
49671927,"Del Mar Beach Life, Surf boards available",22217438,Suanne,,Del Mar Heights,32.94846,-117.2638,Private room,119,2,25,2022-03-04,2.50,2,64,25,
41557821,Studio For Rent in Downtown Tijuana,253662339,Fabian,,San Ysidro,32.53769,-117.03714,Private room,27,2,36,2022-03-20,1.91,1,355,31,
54066812,"Ocean-View Estate - Central AC, Free WiFi, Washer/Dryer - Snowbird-Friendly",111814852,Vacasa California,,Ocean Beach,32.73132,-117.2566,Entire home/apt,1524,3,0,,,62,355,0,
38466334,Private getaway RV spot in beautiful San Diego,76002453,Raymond,,Encanto,32.7318,-117.05588,Entire home/apt,70,1,61,2022-02-13,2.04,1,356,17,
973504,27 foot Catalina Sailboat,5323683,Dave,,Mission Bay,32.76361,-117.24112,Entire home/apt,159,3,25,2021-10-18,0.23,1,360,1,
